grid_id,row,col,sub_row,sub_col,min_lon,min_lat,max_lon,max_lat,public_count,private_count,centroid_lon,centroid_lat,facilities_count,traffic_sum,traffic_sum_imputed,enforcement_sum,score_facilities,score_traffic,score_enforcement,congestion_score_raw,congestion_score,congestion_score_100
g0,0,1,-1,-1,127.07071792615365,36.643079730400785,127.07184822407048,36.64387779992995,0,0,127.07147315533899,36.64360600338241,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g1,0,2,-1,-1,127.07182832520547,36.64119944980274,127.08963445783152,36.64416342035191,0,0,127.08083926286781,36.642893618418896,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g2,0,3,-1,-1,127.13308565967364,36.64432892175472,127.13492074228309,36.64488245146569,0,0,127.13428029073889,36.64468320454759,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g3,0,4,-1,-1,127.13490739197928,36.61969897225023,127.16049735205002,36.645167622291495,0,0,127.15000909611268,36.634987937638414,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g4,1,0,-1,-1,127.00838165815365,36.65000246851387,127.0400049532258,36.66877766954591,0,0,127.02510523122872,36.660819498054835,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g5,1,1,-1,-1,127.03964551384063,36.64385981536167,127.07182832520547,36.669292985342985,0,0,127.05711427067956,36.658571945048465,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g6,1,2,-1,-1,127.07119421805758,36.64387779992995,127.1030747423534,36.669799949731654,0,0,127.08552981180294,36.658112580902376,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g7,1,3,-1,-1,127.10274371759124,36.64485390573786,127.13490739197928,36.67029856205471,0,0,127.12108933979566,36.661425001320154,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g8,1,4,-1,-1,127.13429399946688,36.64488245146569,127.16056872026489,36.67066380970903,0,0,127.14564701701863,36.65808894871276,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g9,2,0,-1,-1,127.01523919582695,36.66837758291178,127.03964551384063,36.693217372048444,0,0,127.03008421911383,36.678099842698,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g10,2,1,-1,-1,127.0390250098603,36.66877766954591,127.07119421805758,36.69470805259311,2,0,127.05511332187456,36.6817329952153,2,0.0,33450.4623655914,6.0,0.32786885245901637,0.0,0.000947119179163378,0.10960532387939326,0.11725791880631894,1.1725791880631895
g11,2,2,-1,-1,127.0705593155926,36.669292985342985,127.10274371759124,36.69521548371076,0,0,127.08665412281253,36.68225481485939,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g12,2,3,-1,-1,127.10211918491227,36.669799949731654,127.13429399946688,36.695714555079505,0,0,127.11820919843605,36.68275783468984,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g13,2,4,-1,-1,127.1336798375889,36.67029856205471,127.16412369492484,36.69582456002225,0,0,127.14750358499492,36.68170745425073,2,0.0,33450.4623655914,0.0,0.32786885245901637,0.0,0.0,0.1092896174863388,0.11692016993342523,1.1692016993342522
g14,2,7,-1,-1,127.24438801353853,36.69221983472556,127.26004280824223,36.697627230282365,0,0,127.254591115987,36.69585247388362,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g15,2,8,-1,-1,127.2599300219649,36.690408198933206,127.29151892094708,36.698084493413845,0,0,127.27580636023264,36.69513463111724,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g16,2,9,-1,-1,127.29149439648418,36.69697654460015,127.29706583082474,36.698164335583805,0,0,127.29375918374309,36.69768787047873,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g17,3,1,-1,-1,127.04043946772713,36.694215966756595,127.0705593155926,36.709214962993194,0,0,127.05905629168025,36.700597440978,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g18,3,2,-1,-1,127.07021272959632,36.69470805259311,127.10211918491227,36.72063089978614,0,0,127.08771226687179,36.70658955072671,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g19,3,3,-1,-1,127.10149386887598,36.69521548371076,127.1336798375889,36.72113043049793,0,0,127.11726450934519,36.70816300830886,7,0.0,33450.4623655914,272.0,1.1475409836065573,0.0,0.04293606945540647,0.3968256843539879,0.4245318770048367,4.2453187700483666
g20,3,4,-1,-1,127.13306490534714,36.695714555079505,127.14882779772049,36.72137321726999,0,0,127.13791965043146,36.71149528422237,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g21,3,6,-1,-1,127.20435610006653,36.70855078450234,127.2281048733057,36.72257881158308,0,0,127.21978298535919,36.71837291262228,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g22,3,7,-1,-1,127.22778259089097,36.697399001506625,127.2599300219649,36.723044866173,0,0,127.24567314032525,36.71168856775258,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g23,3,8,-1,-1,127.25935663473467,36.697627230282365,127.29149439648418,36.72350255019326,0,0,127.27542812514824,36.71056548284915,2,0.0,33450.4623655914,1.0,0.32786885245901637,0.0,0.00015785319652722967,0.10934223521851454,0.11697646141224084,1.1697646141224085
g24,3,9,-1,-1,127.29093139788097,36.698084493413845,127.31320705145934,36.723820399206026,0,0,127.29928176937304,36.71209685189242,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g25,4,2,-1,-1,127.08047916675136,36.72031172236995,127.10149386887598,36.74604619791527,0,0,127.09237328582486,36.732600973902414,0,0.0,33450.4623655914,241.0,0.0,0.0,0.03804262036306235,0.012680873454354117,0.013566246394564201,0.13566246394564202
g26,4,3,-1,-1,127.10086776846536,36.72063089978614,127.13306490534714,36.746546188267935,0,0,127.11696894959888,36.73358912744418,4,0.0,33450.4623655914,560.0,0.6557377049180327,0.0,0.08839779005524862,0.24804516499109378,0.2653635680035971,2.653635680035971
g27,4,4,-1,-1,127.13244920174141,36.72113043049793,127.16434842778206,36.74703780284121,0,0,127.14677676734843,36.73560679279152,1,0.0,33450.4623655914,2.0,0.16393442622950818,0.0,0.00031570639305445933,0.05475004420752088,0.05857266792434385,0.5857266792434385
g28,4,5,-1,-1,127.16403140738325,36.727706561552004,127.19606532797785,36.74752104099688,0,0,127.18089571971718,36.73845272751065,0,0.0,33450.4623655914,27.0,0.0,0.0,0.004262036306235201,0.0014206787687450668,0.0015198699280217153,0.015198699280217153
g29,4,6,-1,-1,127.19561437236167,36.722228977079816,127.22778259089097,36.74799590210758,0,0,127.21228546668739,36.73555709016746,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g30,4,7,-1,-1,127.22719808364548,36.72257881158308,127.25935663473467,36.74846238555678,0,0,127.24327997195192,36.735521189801545,6,0.0,33450.4623655914,210.0,0.9836065573770492,0.0,0.03314917127071823,0.3389185762159224,0.36258172035155567,3.6258172035155565
g31,4,8,-1,-1,127.25878252820152,36.723044866173,127.29093139788097,36.74892049073878,0,0,127.27485957580994,36.73598327164038,6,0.0,33450.4623655914,139.0,0.9836065573770492,0.0,0.021941594317284922,0.3351827172314447,0.3585850253556468,3.5858502535564676
g32,4,9,-1,-1,127.29036769299488,36.72350255019326,127.32236174131477,36.7493702170588,0,0,127.30610496380555,36.73670078443068,1,0.0,33450.4623655914,1.0,0.16393442622950818,0.0,0.00015785319652722967,0.05469742647534514,0.058516376445528234,0.5851637644552823
g33,4,10,-1,-1,127.3219535649886,36.72930391934001,127.34316956626441,36.749543463007264,0,0,127.33103499920902,36.73964280616986,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g34,4,12,-1,-1,127.39456121523652,36.74484876355476,127.40614440374863,36.750527963370764,0,0,127.40089723206817,36.74856132840158,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g35,5,2,-1,-1,127.08653106400877,36.74584854585794,127.10086776846536,36.761134586252446,0,0,127.09599861932197,36.751681822454096,0,0.0,33450.4623655914,1.0,0.0,0.0,0.00015785319652722967,5.261773217574322e-05,5.629147881561909e-05,0.0005629147881561909
g36,5,3,-1,-1,127.10053862749817,36.74604619791527,127.13244920174141,36.771961828347486,0,0,127.11889626052661,36.756518976229344,0,0.0,33450.4623655914,230.0,0.0,0.0,0.036306235201262825,0.012102078400420942,0.012947040127592391,0.1294704012759239
g37,5,4,-1,-1,127.13183272576957,36.746546188267935,127.16403140738325,36.77245389516085,0,0,127.1479346825229,36.75950062765381,0,0.0,33450.4623655914,749.0,0.0,0.0,0.11823204419889502,0.03941068139963167,0.042162317632898696,0.42162317632898694
g38,5,5,-1,-1,127.16342534224769,36.74703780284121,127.19561437236167,36.77293757785666,0,0,127.17952247327152,36.75998827824343,2,0.0,33450.4623655914,416.0,0.32786885245901637,0.0,0.06566692975532754,0.13117859407144797,0.14033742512072278,1.4033742512072276
g39,5,6,-1,-1,127.19501871904964,36.74752104099688,127.22719808364548,36.77341287580666,0,0,127.21111101733055,36.76046754825106,7,0.0,33450.4623655914,1748.0,1.1475409836065573,0.0,0.27592738752959745,0.474489457045385,0.5076180997366906,5.076180997366905
g40,5,7,-1,-1,127.22661284312737,36.74799590210758,127.25878252820152,36.773879788393494,1,0,127.24270030165937,36.76093843705431,0,0.0,33450.4623655914,26.0,0.0,0.0,0.004104183109707971,0.0013680610365693236,0.0014635784492060962,0.014635784492060962
g41,5,8,-1,-1,127.25820770143083,36.74846238555678,127.29036769299488,36.77433831501065,0,0,127.27429031321556,36.761400944041654,2,0.0,33450.4623655914,131.0,0.32786885245901637,0.0,0.020678768745067085,0.11618254040136115,0.12429435365827134,1.2429435365827133
g42,5,9,-1,-1,127.2898032809081,36.74892049073878,127.3219535649886,36.7747884550625,1,0,127.30588103895461,36.76185506861244,10,0.0,33450.4623655914,342.0,1.6393442622950818,0.0,0.05398579321231255,0.5644433518357981,0.6038525354220678,6.038525354220678
g43,5,10,-1,-1,127.32139956850537,36.7493702170588,127.35343961297377,36.77523020796423,0,0,127.3368030768797,36.763287172558435,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g44,5,11,-1,-1,127.35299655116702,36.754514360909404,127.38493164613273,36.77566357314197,0,0,127.36908866818676,36.76726860744411,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g45,5,12,-1,-1,127.38459421583566,36.75037229123836,127.41658945623374,36.77589835457725,0,0,127.3999023215291,36.76366387647989,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g46,5,13,-1,-1,127.4163843509705,36.75679112990374,127.42041707616475,36.76676555271268,0,0,127.41804284857433,36.760393996134425,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g47,6,2,-1,-1,127.09424290255716,36.79243936537582,127.09971582855778,36.796876440164915,0,0,127.09753893791931,36.79522214268723,1,0.0,33450.4623655914,431.0,0.16393442622950818,0.0,0.06803472770323599,0.07732305131091473,0.08272171233624445,0.8272171233624445
g48,6,3,-1,-1,127.09961321044304,36.77177841457852,127.13183272576957,36.79737735069466,4,4,127.12253477000134,36.785904713033545,15,181902.27956989247,181902.27956989247,8587.0,2.4590163934426226,9.344383528817385,1.3554853985793212,4.386295106946442,4.692544278933316,46.92544278933316
g49,6,4,-1,-1,127.13121547642743,36.771961828347486,127.16342534224769,36.7978698700419,3,3,127.14732302851847,36.78491643570261,21,55525.6129032258,55525.6129032258,41631.0,3.442622950819672,1.389532825968389,6.571586424625099,3.8012474004710533,4.066648802001908,40.66648802001908
g50,6,5,-1,-1,127.16281851678795,36.77245389516085,127.19501871904964,36.798353997566636,1,0,127.17892123712105,36.785404534828054,9,45025.01612903226,45025.01612903226,807.0,1.4754098360655736,0.7285668277920847,0.12738752959747435,0.7771213978183776,0.8313796679102049,8.313796679102047
g51,6,6,-1,-1,127.19442231846156,36.77293757785666,127.22661284312737,36.79882973263976,0,0,127.21052020001378,36.78588424566863,4,0.0,33450.4623655914,1010.0,0.6557377049180327,0.0,0.15943172849250195,0.27172314447017826,0.29069473347062574,2.9069473347062575
g52,6,7,-1,-1,127.22602686838324,36.77341287580666,127.25820770143083,36.79929707464307,0,0,127.24211990413922,36.78635556760107,10,0.0,33450.4623655914,252.0,1.6393442622950818,0.0,0.039779005524861875,0.5597077559399812,0.5987863023286621,5.9878630232866215
g53,6,8,-1,-1,127.25763215348599,36.773879788393494,127.2898032809081,36.799756022969206,2,0,127.27372033643795,36.786818500013055,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g54,6,9,-1,-1,127.28923816070098,36.77433831501065,127.32139956850537,36.8002065770217,0,0,127.3053214838485,36.787273042303056,2,0.0,33450.4623655914,0.0,0.32786885245901637,0.0,0.0,0.1092896174863388,0.11692016993342523,1.1692016993342522
g55,6,10,-1,-1,127.32084487695742,36.7747884550625,127.35299655116702,36.80064873621498,0,0,127.33692333330784,36.78771919388047,5,0.0,33450.4623655914,0.0,0.8196721311475409,0.0,0.0,0.27322404371584696,0.29230042483356306,2.9230042483356304
g56,6,11,-1,-1,127.35245228918276,36.77523020796423,127.38459421583566,36.80108249997435,0,0,127.36852587175086,36.788156954165565,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g57,6,12,-1,-1,127.38406038430261,36.77566357314197,127.40198023117193,36.801243381128785,0,0,127.39168457383191,36.788560373233295,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g58,7,2,-1,-1,127.09417313853953,36.796790482965704,127.09961321044304,36.817772101014,0,0,127.09793127997581,36.804561620248435,0,0.0,33450.4623655914,209.0,0.0,0.0,0.032991318074191,0.010997106024730334,0.01176491907246439,0.1176491907246439
g59,7,3,-1,-1,127.09909656125039,36.796876440164915,127.13121547642743,36.82279275526757,9,25,127.11538123610877,36.809922671421134,36,192317.88978494625,192317.88978494625,59973.0,5.9016393442622945,10.0,9.466929755327545,8.45618969986328,9.046597100780248,90.46597100780248
g60,7,4,-1,-1,127.1305974527088,36.79737735069466,127.16281851678795,36.823285727442936,21,13,127.14671060716789,36.81033212614552,61,161213.43010752686,161213.43010752686,63350.0,10.0,8.042112207475078,10.0,9.347370735825026,10.0,100.0
g61,7,5,-1,-1,127.16221093001481,36.7978698700419,127.19442231846156,36.823770300085855,0,0,127.17831924667995,36.810820674098316,9,117148.99731182796,117148.99731182796,2564.0,1.4754098360655736,5.2684515829227525,0.40473559589581687,2.3828656716280476,2.5492362921857827,25.492362921857826
g62,7,6,-1,-1,127.1938251696251,36.798353997566636,127.22602686838324,36.82424647256639,0,0,127.20992864146397,36.81130082605836,2,0.0,33450.4623655914,0.0,0.32786885245901637,0.0,0.0,0.1092896174863388,0.11692016993342523,1.1692016993342522
g63,7,7,-1,-1,127.22544015845769,36.79882973263976,127.25763215348599,36.82471424426544,1,0,127.24153877844546,36.81177258140156,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g64,7,8,-1,-1,127.25705588342863,36.79929707464307,127.28923816070098,36.825173614574815,0,0,127.27314964454801,36.812235939514714,3,0.0,33450.4623655914,0.0,0.4918032786885246,0.0,0.0,0.16393442622950818,0.17538025490013784,1.7538025490013784
g65,7,9,-1,-1,127.28867233145208,36.799756022969206,127.32084487695742,36.82562458289724,0,0,127.30476122669336,36.812690899795484,1,0.0,33450.4623655914,0.0,0.16393442622950818,0.0,0.0,0.0546448087431694,0.058460084966712615,0.5846008496671261
g66,7,10,-1,-1,127.32028948944028,36.8002065770217,127.35245228918276,36.82606714864634,0,0,127.33637351180133,36.813137461652445,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g67,7,11,-1,-1,127.35190734430373,36.80064873621498,127.38406038430261,36.82614773873457,0,0,127.36587929475326,36.81025068911842,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g68,7,12,-1,-1,127.38382825738684,36.80108249997435,127.39594208088718,36.81212548573404,0,0,127.38827853107385,36.804855541887996,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g69,8,2,-1,-1,127.09819598254295,36.83779669900034,127.09860094740051,36.840413974621605,0,0,127.09842198287103,36.839069111574965,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g70,8,3,-1,-1,127.09853613284761,36.82233292982131,127.1305974527088,36.8482080420244,2,4,127.11610268168317,36.83509451487586,14,101072.35752688171,101072.35752688171,54326.0,2.2950819672131146,4.2564984062335185,8.575532754538278,5.042371042661637,5.394427144454738,53.944271444547375
g71,8,4,-1,-1,127.12997865360553,36.82279275526757,127.16221093001481,36.84870146732261,4,3,127.14609741747245,36.83574769894092,20,186651.37580645163,186651.37580645163,52745.0,3.2786885245901636,9.643318075294504,8.32596685082873,7.082657816904465,7.5771658331248695,75.7716583312487
g72,8,5,-1,-1,127.16160258093704,36.823285727442936,127.1938251696251,36.84918648537345,1,2,127.1777165009666,36.836236696013046,21,0.0,33450.4623655914,1164.0,3.442622950819672,0.0,0.18374112075769533,1.2087880238591224,1.2931850656423456,12.931850656423455
g73,8,6,-1,-1,127.19322727156603,36.823770300085855,127.22544015845769,36.84966309554609,0,0,127.20933634071633,36.83671728937956,1,0.0,33450.4623655914,0.0,0.16393442622950818,0.0,0.0,0.0546448087431694,0.058460084966712615,0.5846008496671261
g74,8,7,-1,-1,127.22485271239348,36.82424647256639,127.25705588342863,36.8501312972206,0,0,127.24095692363029,36.8371894784155,1,0.0,33450.4623655914,0.0,0.16393442622950818,0.0,0.0,0.0546448087431694,0.058460084966712615,0.5846008496671261
g75,8,8,-1,-1,127.25647889031846,36.82471424426544,127.28867233145208,36.85059108978793,0,0,127.27257823661505,36.83765326250683,4,0.0,33450.4623655914,2.0,0.6557377049180327,0.0,0.00031570639305445933,0.21868447043702907,0.23395292282448168,2.339529228244817
g76,8,9,-1,-1,127.28810579223811,36.825173614574815,127.32028948944028,36.85104247264999,0,0,127.3042002665753,36.838108641050354,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g77,8,10,-1,-1,127.31973340504767,36.82562458289724,127.35190734430373,36.85127571614571,0,0,127.33016429454857,36.837081081806446,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g78,8,11,-1,-1,127.35180998646673,36.82606714864634,127.35773041102104,36.83060494200906,0,0,127.35420794030414,36.827749583337095,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g79,9,2,-1,-1,127.08721690257477,36.860883796117115,127.09800118028055,36.873120917882424,0,0,127.09288025737719,36.8672557436737,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g80,9,3,-1,-1,127.09772546506011,36.84783535254075,127.12997865360553,36.87362321092338,0,0,127.11602563869887,36.86193765659353,3,94483.72311827957,94483.72311827957,3214.0,0.4918032786885246,3.8417730899350158,0.5073401736385161,1.6136388474206855,1.7263023935021673,17.26302393502167
g81,9,4,-1,-1,127.12935907810741,36.8482080420244,127.16160258093704,36.87411708963965,0,1,127.14548345843147,36.86116315404723,5,33450.4623655914,33450.4623655914,2946.0,0.8196721311475409,0.0,0.4650355169692186,0.4282358827055865,0.4581351214243769,4.581351214243769
g82,9,5,-1,-1,127.16099346856144,36.84870146732261,127.19322727156603,36.8746025533886,0,0,127.17711299899715,36.86165260053117,2,0.0,33450.4623655914,47.0,0.32786885245901637,0.0,0.007419100236779794,0.11176265089859871,0.11956586943775932,1.195658694377593
g83,9,6,-1,-1,127.19262862330812,36.84918648537345,127.22485271239348,36.87507960153852,2,0,127.20874329680416,36.86213363559161,4,0.0,33450.4623655914,85.0,0.6557377049180327,0.0,0.013417521704814521,0.22305174220761573,0.23862511556617805,2.3862511556617805
g84,9,7,-1,-1,127.22426452923142,36.84966309554609,127.25647889031846,36.87554823346865,0,0,127.240374338744,36.862606258602746,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g85,9,8,-1,-1,127.25590117321332,36.8501312972206,127.28810579223811,36.87600844856908,0,0,127.27200611170623,36.86307046894966,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g86,9,9,-1,-1,127.28753854213392,36.85059108978793,127.31973340504767,36.87632856601162,0,0,127.30053005643369,36.862543724031084,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g87,9,10,-1,-1,127.31956328918821,36.85104247264999,127.33692423458773,36.85881186007757,0,0,127.32752092072948,36.85426595975803,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g88,10,2,-1,-1,127.08631391308141,36.87295479582378,127.09772546506011,36.89853550744406,0,0,127.09324304016538,36.884450947230654,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g89,10,3,-1,-1,127.09709463693261,36.873120917882424,127.12935907810741,36.89903826192282,0,0,127.11322948965108,36.88608017672554,3,0.0,33450.4623655914,34.0,0.4918032786885246,0.0,0.005367008681925809,0.16572342912348345,0.17729416517986887,1.772941651798689
g90,10,4,-1,-1,127.12873872520227,36.87362321092338,127.16099346856144,36.89953259435281,0,0,127.14486872904226,36.886578491422995,7,0.0,33450.4623655914,2074.0,1.1475409836065573,0.0,0.3273875295974743,0.49164283773467715,0.5259691218305822,5.259691218305822
g91,10,5,-1,-1,127.16038359189287,36.87411708963965,127.19262862330812,36.900018504090525,0,0,127.176508739786,36.88706838761167,2,0.0,33450.4623655914,300.0,0.32786885245901637,0.0,0.0473559589581689,0.12507493713906176,0.13380761357811097,1.3380761357811095
g92,10,6,-1,-1,127.1920292238733,36.8746025533886,127.22426452923142,36.90049599050338,0,0,127.20814950875875,36.88754986465395,4,0.0,33450.4623655914,769.0,0.6557377049180327,0.0,0.12138910812943961,0.2590422710158241,0.2771284870760615,2.7712848707606152
g93,10,7,-1,-1,127.22367560801041,36.87507960153852,127.25590117321332,36.900965052969724,0,0,127.23979102283491,36.88802292192317,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g94,10,8,-1,-1,127.25532273116916,36.87554823346865,127.28753854213392,36.901318484672046,0,0,127.27087121943133,36.888041851257235,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g95,10,9,-1,-1,127.28713760579308,36.87600844856908,127.3112124571633,36.89426370049529,0,0,127.2969187800802,36.88299384539283,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g96,11,2,-1,-1,127.08460119424045,36.898420599306064,127.09709463693261,36.923949978763325,0,0,127.0926452781668,36.910123859722525,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g97,11,3,-1,-1,127.0964630172547,36.89853550744406,127.12873872520227,36.92445319498106,0,1,127.11260350661392,36.91149493860416,2,0.0,33450.4623655914,402.0,0.32786885245901637,0.0,0.06345698500394632,0.13044194582098756,0.1395493444173041,1.3954934441730409
g98,11,4,-1,-1,127.12811759387586,36.89903826192282,127.16038359189287,36.924947981420935,1,1,127.14425322830012,36.911993711026774,12,0.0,33450.4623655914,1872.0,1.9672131147540983,0.0,0.29550118389897395,0.7542380995510242,0.8068986679433904,8.068986679433904
g99,11,5,-1,-1,127.15977294993418,36.89953259435281,127.1920292238733,36.92543433743852,0,0,127.17590372234558,36.91248405721357,2,0.0,33450.4623655914,15.0,0.32786885245901637,0.0,0.002367797947908445,0.11007888346897493,0.11776454211565951,1.177645421156595
g100,11,6,-1,-1,127.19142907228147,36.900018504090525,127.22367560801041,36.92591226240039,0,0,127.20755497560963,36.91296597652607,4,0.0,33450.4623655914,71.0,0.6557377049180327,0.0,0.011207576953433307,0.22231509395715535,0.2378370348627594,2.3783703486275938
g101,11,7,-1,-1,127.2230859477675,36.90049599050338,127.25532273116916,36.92596625780655,0,0,127.23832712253635,36.9115251501979,3,0.0,33450.4623655914,51.0,0.4918032786885246,0.0,0.008050513022888712,0.1666179305704711,0.17825112031973445,1.7825112031973442
g102,11,8,-1,-1,127.25487674639788,36.900965052969724,127.27984201956255,36.92053986359372,0,0,127.2653812792758,36.90773963999176,0,0.0,33450.4623655914,7.0,0.0,0.0,0.0011049723756906076,0.0003683241252302025,0.0003940403517093336,0.0039404035170933355
g103,12,2,-1,-1,127.07408082282882,36.92380854977359,127.0964630172547,36.94766979554243,0,0,127.08720642502931,36.93536217795377,0,0.0,33450.4623655914,1.0,0.0,0.0,0.00015785319652722967,5.261773217574322e-05,5.629147881561909e-05,0.0005629147881561909
g104,12,3,-1,-1,127.09596418814385,36.923949978763325,127.12811759387586,36.94986801005654,0,0,127.11209930405816,36.93682249352453,0,0.0,33450.4623655914,1.0,0.0,0.0,0.00015785319652722967,5.261773217574322e-05,5.629147881561909e-05,0.0005629147881561909
g105,12,4,-1,-1,127.1274956831119,36.92445319498106,127.15977294993418,36.950363250802894,0,0,127.14363695519837,36.93740881281717,4,0.0,33450.4623655914,1.0,0.6557377049180327,0.0,0.00015785319652722967,0.21863185270485333,0.23389663134566607,2.3389663134566607
g106,12,5,-1,-1,127.15916154168616,36.924947981420935,127.19142907228147,36.95085005339195,0,0,127.1752979456862,36.93789960929597,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g107,12,6,-1,-1,127.19082816755058,36.92543433743852,127.2230859477675,36.95103535586188,0,0,127.20173424281303,36.936421522028965,1,0.0,33450.4623655914,0.0,0.16393442622950818,0.0,0.0,0.0546448087431694,0.058460084966712615,0.5846008496671261
g108,12,7,-1,-1,127.22303016421043,36.92591226240039,127.22669804915354,36.928315059289034,0,0,127.22439774347008,36.92680205230001,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g109,13,3,-1,-1,127.09626614937515,36.94941408548253,127.1274956831119,36.973075856598136,0,0,127.1138050432037,36.959297822666,1,0.0,33450.4623655914,1.0,0.16393442622950818,0.0,0.00015785319652722967,0.05469742647534514,0.058516376445528234,0.5851637644552823
g110,13,4,-1,-1,127.12706768224903,36.94986801005654,127.15916154168616,36.971146492307405,0,0,127.14339787426609,36.95950548408637,1,0.0,33450.4623655914,0.0,0.16393442622950818,0.0,0.0,0.0546448087431694,0.058460084966712615,0.5846008496671261
g111,13,5,-1,-1,127.15869082519109,36.950363250802894,127.19082816755058,36.969928617361305,0,0,127.17152212161051,36.956084089433254,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g112,13,6,-1,-1,127.19078956539717,36.95085005339195,127.20302882852155,36.95248166728382,0,0,127.19627091494216,36.95154606516336,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
